title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Ozone (O3),Upper West Side,28.12
Climate and Health,Ozone (O3),Upper East Side,28.07
Climate and Health,Ozone (O3),Chelsea - Clinton,26.11
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,25.06
Climate and Health,Ozone (O3),Greenwich Village - SoHo,27.35
Climate and Health,Ozone (O3),Union Square - Lower East Side,27.73
Climate and Health,Ozone (O3),Lower Manhattan,26.98
Climate and Health,Ozone (O3),Long Island City - Astoria,31.43
Climate and Health,Ozone (O3),West Queens,31.57
Climate and Health,Ozone (O3),Flushing - Clearview,31.88
Climate and Health,Ozone (O3),Bayside - Little Neck,31.27
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,31.81
Climate and Health,Ozone (O3),Fresh Meadows,31.53
Climate and Health,Ozone (O3),Southwest Queens,32.59
Climate and Health,Ozone (O3),Jamaica,32.04
Climate and Health,Ozone (O3),Southeast Queens,32.51
Climate and Health,Ozone (O3),Rockaways,37.44
Climate and Health,Ozone (O3),Port Richmond,29.99
Climate and Health,Ozone (O3),Stapleton - St. George,31.84
Climate and Health,Ozone (O3),Willowbrook,31.66
Climate and Health,Ozone (O3),South Beach - Tottenville,34.07
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,32.46
Climate and Health,Ozone (O3),Northeast Bronx,33.21
Climate and Health,Ozone (O3),Fordham - Bronx Pk,32.78
Climate and Health,Ozone (O3),Pelham - Throgs Neck,33.63
Climate and Health,Ozone (O3),Crotona -Tremont,32.31
Climate and Health,Ozone (O3),High Bridge - Morrisania,32.34
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,33.57
Climate and Health,Ozone (O3),Greenpoint,32.96
Climate and Health,Ozone (O3),Downtown - Heights - Slope,31.98
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,32.98
Climate and Health,Ozone (O3),East New York,34.26
Climate and Health,Ozone (O3),Sunset Park,33.28
Climate and Health,Ozone (O3),Borough Park,33.54
Climate and Health,Ozone (O3),East Flatbush - Flatbush,33.66
Climate and Health,Ozone (O3),Canarsie - Flatlands,35.79
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,34.25
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,35.62
Climate and Health,Ozone (O3),Williamsburg - Bushwick,32.99
Climate and Health,Ozone (O3),Washington Heights,31.92
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,31.35
Climate and Health,Ozone (O3),East Harlem,31.62
Climate and Health,Ozone (O3),Upper West Side,30.54
Climate and Health,Ozone (O3),Upper East Side,30.17
Climate and Health,Ozone (O3),Chelsea - Clinton,28.76
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,27.51
Climate and Health,Ozone (O3),Greenwich Village - SoHo,30.03
Climate and Health,Ozone (O3),Union Square - Lower East Side,30.14
Climate and Health,Ozone (O3),Lower Manhattan,29.73
Climate and Health,Ozone (O3),Long Island City - Astoria,33.15
Climate and Health,Ozone (O3),West Queens,33.12
Climate and Health,Ozone (O3),Flushing - Clearview,33.44
Climate and Health,Ozone (O3),Bayside - Little Neck,32.99
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,33.48
Climate and Health,Ozone (O3),Fresh Meadows,33.16
Climate and Health,Ozone (O3),Southwest Queens,34.34
Climate and Health,Ozone (O3),Jamaica,33.86
Climate and Health,Ozone (O3),Southeast Queens,34.3
Climate and Health,Ozone (O3),Rockaways,38.18
Climate and Health,Ozone (O3),Port Richmond,33.42
Climate and Health,Ozone (O3),Stapleton - St. George,34.18
Climate and Health,Ozone (O3),Willowbrook,34.68
Climate and Health,Ozone (O3),South Beach - Tottenville,36.17
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,27.53
Climate and Health,Ozone (O3),Northeast Bronx,29.01
Climate and Health,Ozone (O3),Fordham - Bronx Pk,28.34
Climate and Health,Ozone (O3),Pelham - Throgs Neck,29.79
Climate and Health,Ozone (O3),Crotona -Tremont,27.8
Climate and Health,Ozone (O3),High Bridge - Morrisania,27.72
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,29.41
Climate and Health,Ozone (O3),Greenpoint,28.98
Climate and Health,Ozone (O3),Downtown - Heights - Slope,27.92
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,29.39
Climate and Health,Ozone (O3),East New York,30.9
Climate and Health,Ozone (O3),Sunset Park,29.26
Climate and Health,Ozone (O3),Borough Park,29.72
Climate and Health,Ozone (O3),East Flatbush - Flatbush,30.13
Climate and Health,Ozone (O3),Canarsie - Flatlands,32.45
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,30.05
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,31.86
Climate and Health,Ozone (O3),Williamsburg - Bushwick,29.33
Climate and Health,Ozone (O3),Washington Heights,26.92
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,26.51
Climate and Health,Ozone (O3),East Harlem,26.91
Climate and Health,Ozone (O3),Upper West Side,25.57
Climate and Health,Ozone (O3),Upper East Side,25.24
Climate and Health,Ozone (O3),Chelsea - Clinton,23.43
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,22.12
Climate and Health,Ozone (O3),Greenwich Village - SoHo,25.23
Climate and Health,Ozone (O3),Union Square - Lower East Side,25.58
Climate and Health,Ozone (O3),Lower Manhattan,24.66
Climate and Health,Ozone (O3),Long Island City - Astoria,29.12
Climate and Health,Ozone (O3),West Queens,29.44
Climate and Health,Ozone (O3),Flushing - Clearview,30.26
Climate and Health,Ozone (O3),Bayside - Little Neck,30.27
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,30.06
Climate and Health,Ozone (O3),Fresh Meadows,30.07
Climate and Health,Ozone (O3),Southwest Queens,31.16
Climate and Health,Ozone (O3),Jamaica,30.93
Climate and Health,Ozone (O3),Southeast Queens,31.72
Climate and Health,Ozone (O3),Rockaways,35.19
Climate and Health,Ozone (O3),Port Richmond,27
Climate and Health,Ozone (O3),Stapleton - St. George,28.83
Climate and Health,Ozone (O3),Willowbrook,27.95
Climate and Health,Ozone (O3),South Beach - Tottenville,28.95
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,29.8
Climate and Health,Ozone (O3),Northeast Bronx,31.24
Climate and Health,Ozone (O3),Fordham - Bronx Pk,30.6
Climate and Health,Ozone (O3),Pelham - Throgs Neck,31.52
Climate and Health,Ozone (O3),Crotona -Tremont,29.96
Climate and Health,Ozone (O3),High Bridge - Morrisania,29.68
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,30.62
Climate and Health,Ozone (O3),Greenpoint,28.98
Climate and Health,Ozone (O3),Downtown - Heights - Slope,28.54
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,30.2
Climate and Health,Ozone (O3),East New York,31.71
Climate and Health,Ozone (O3),Sunset Park,29.49
Climate and Health,Ozone (O3),Borough Park,30.44
Climate and Health,Ozone (O3),East Flatbush - Flatbush,30.95
Climate and Health,Ozone (O3),Canarsie - Flatlands,32.96
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,30.9
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,32.5
Climate and Health,Ozone (O3),Williamsburg - Bushwick,29.64
Climate and Health,Ozone (O3),Washington Heights,28.95
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,28.41
Climate and Health,Ozone (O3),East Harlem,28.83
Climate and Health,Ozone (O3),Upper West Side,27.2
Climate and Health,Ozone (O3),Upper East Side,26.97
Climate and Health,Ozone (O3),Chelsea - Clinton,24.81
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,23.99
Climate and Health,Ozone (O3),Greenwich Village - SoHo,26.35
Climate and Health,Ozone (O3),Union Square - Lower East Side,26.82
Climate and Health,Ozone (O3),Lower Manhattan,25.92
Climate and Health,Ozone (O3),Long Island City - Astoria,29.66
Climate and Health,Ozone (O3),West Queens,30.33
Climate and Health,Ozone (O3),Flushing - Clearview,31.28
Climate and Health,Ozone (O3),Bayside - Little Neck,30.98
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,30.96
Climate and Health,Ozone (O3),Fresh Meadows,31.03
Climate and Health,Ozone (O3),Southwest Queens,31.93
Climate and Health,Ozone (O3),Jamaica,31.33
Climate and Health,Ozone (O3),Southeast Queens,31.82
Climate and Health,Ozone (O3),Rockaways,35.18
Climate and Health,Ozone (O3),Port Richmond,28.48
Climate and Health,Ozone (O3),Stapleton - St. George,29.89
Climate and Health,Ozone (O3),Willowbrook,29.36
Climate and Health,Ozone (O3),South Beach - Tottenville,30.34
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,28.43
Climate and Health,Ozone (O3),Northeast Bronx,30.34
Climate and Health,Ozone (O3),Fordham - Bronx Pk,29.64
Climate and Health,Ozone (O3),Pelham - Throgs Neck,30.87
Climate and Health,Ozone (O3),Crotona -Tremont,29.06
Climate and Health,Ozone (O3),High Bridge - Morrisania,28.62
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,29.58
Climate and Health,Ozone (O3),Greenpoint,27.77
Climate and Health,Ozone (O3),Downtown - Heights - Slope,27.61
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,30.46
Climate and Health,Ozone (O3),East New York,32.61
Climate and Health,Ozone (O3),Sunset Park,28.83
Climate and Health,Ozone (O3),Borough Park,30.62
Climate and Health,Ozone (O3),East Flatbush - Flatbush,31.43
Climate and Health,Ozone (O3),Canarsie - Flatlands,34.05
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,30.83
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,33.33
Climate and Health,Ozone (O3),Williamsburg - Bushwick,29.34
Climate and Health,Ozone (O3),Washington Heights,27.73
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,27.07
Climate and Health,Ozone (O3),East Harlem,27.51
Climate and Health,Ozone (O3),Upper West Side,25.59
Climate and Health,Ozone (O3),Upper East Side,25.88
Climate and Health,Ozone (O3),Chelsea - Clinton,23.84
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,23.96
Climate and Health,Ozone (O3),Greenwich Village - SoHo,25.04
Climate and Health,Ozone (O3),Union Square - Lower East Side,25.72
Climate and Health,Ozone (O3),Lower Manhattan,24.72
Climate and Health,Ozone (O3),Long Island City - Astoria,28.36
Climate and Health,Ozone (O3),West Queens,29.95
Climate and Health,Ozone (O3),Flushing - Clearview,31.3
Climate and Health,Ozone (O3),Bayside - Little Neck,31.68
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,31.3
Climate and Health,Ozone (O3),Fresh Meadows,31.81
Climate and Health,Ozone (O3),Southwest Queens,33.31
Climate and Health,Ozone (O3),Jamaica,32.83
Climate and Health,Ozone (O3),Southeast Queens,33.42
Climate and Health,Ozone (O3),Rockaways,37.44
Climate and Health,Ozone (O3),Port Richmond,27.27
Climate and Health,Ozone (O3),Stapleton - St. George,29.1
Climate and Health,Ozone (O3),Willowbrook,28.8
Climate and Health,Ozone (O3),South Beach - Tottenville,30.14
Climate and Health,Ozone (O3),Kingsbridge - Riverdale,28.49
Climate and Health,Ozone (O3),Northeast Bronx,30.85
Climate and Health,Ozone (O3),Fordham - Bronx Pk,30.17
Climate and Health,Ozone (O3),Pelham - Throgs Neck,32.05
Climate and Health,Ozone (O3),Crotona -Tremont,30.15
Climate and Health,Ozone (O3),High Bridge - Morrisania,30.13
Climate and Health,Ozone (O3),Hunts Point - Mott Haven,31.49
Climate and Health,Ozone (O3),Greenpoint,29.71
Climate and Health,Ozone (O3),Downtown - Heights - Slope,28.79
Climate and Health,Ozone (O3),Bedford Stuyvesant - Crown Heights,29.16
Climate and Health,Ozone (O3),East New York,29.48
Climate and Health,Ozone (O3),Sunset Park,28.93
Climate and Health,Ozone (O3),Borough Park,29.38
Climate and Health,Ozone (O3),East Flatbush - Flatbush,29.46
Climate and Health,Ozone (O3),Canarsie - Flatlands,30.36
Climate and Health,Ozone (O3),Bensonhurst - Bay Ridge,29.84
Climate and Health,Ozone (O3),Coney Island - Sheepshead Bay,30.89
Climate and Health,Ozone (O3),Williamsburg - Bushwick,29.38
Climate and Health,Ozone (O3),Washington Heights,28.84
Climate and Health,Ozone (O3),Central Harlem - Morningside Heights,29.52
Climate and Health,Ozone (O3),East Harlem,30.19
Climate and Health,Ozone (O3),Upper West Side,28.97
Climate and Health,Ozone (O3),Upper East Side,29.3
Climate and Health,Ozone (O3),Chelsea - Clinton,27.83
Climate and Health,Ozone (O3),Gramercy Park - Murray Hill,27.65
Climate and Health,Ozone (O3),Greenwich Village - SoHo,28.54
Climate and Health,Ozone (O3),Union Square - Lower East Side,28.92
Climate and Health,Ozone (O3),Lower Manhattan,27.71
Climate and Health,Ozone (O3),Long Island City - Astoria,30.96
Climate and Health,Ozone (O3),West Queens,30.94
Climate and Health,Ozone (O3),Flushing - Clearview,31.59
Climate and Health,Ozone (O3),Bayside - Little Neck,30.45
Climate and Health,Ozone (O3),Ridgewood - Forest Hills,30.2
Climate and Health,Ozone (O3),Fresh Meadows,30.5
Climate and Health,Ozone (O3),Southwest Queens,29.73
Climate and Health,Ozone (O3),Jamaica,29.47
Climate and Health,Ozone (O3),Southeast Queens,29.98
Climate and Health,Ozone (O3),Rockaways,31.49
Climate and Health,Ozone (O3),Port Richmond,26.96
Climate and Health,Ozone (O3),Stapleton - St. George,28.33
Climate and Health,Ozone (O3),Willowbrook,27.74
Climate and Health,Ozone (O3),South Beach - Tottenville,29.62
Climate and Health,Obesity (adults),Kingsbridge - Riverdale,15
Climate and Health,Obesity (adults),Northeast Bronx,22.5
Climate and Health,Obesity (adults),Fordham - Bronx Pk,20.9
Climate and Health,Obesity (adults),Pelham - Throgs Neck,23.9
Climate and Health,Obesity (adults),Crotona -Tremont,26.2
Climate and Health,Obesity (adults),High Bridge - Morrisania,26.2
Climate and Health,Obesity (adults),Hunts Point - Mott Haven,26.2
Climate and Health,Obesity (adults),Greenpoint,22.4
Climate and Health,Obesity (adults),Downtown - Heights - Slope,15.4
Climate and Health,Obesity (adults),Bedford Stuyvesant - Crown Heights,28.4
Climate and Health,Obesity (adults),East New York,28.5
Climate and Health,Obesity (adults),Sunset Park,19.7
Climate and Health,Obesity (adults),Borough Park,22.4
Climate and Health,Obesity (adults),East Flatbush - Flatbush,27.8
